,0
204,negative
205,neutral
206,positive
207,positive
208,negative
209,negative
210,negative
211,neutral
212,negative
213,negative
214,negative
215,negative
216,negative
217,positive
218,negative
219,negative
220,negative
221,negative
222,positive
223,negative
224,negative
225,negative
226,negative
227,negative
228,negative
229,negative
230,negative
231,negative
232,negative
233,negative
234,negative
235,neutral
236,positive
237,negative
238,neutral
239,neutral
240,negative
241,negative
242,negative
243,negative
244,negative
245,negative
246,negative
247,negative
248,negative
249,negative
250,negative
251,neutral
252,negative
253,neutral
254,positive
255,negative
256,negative
257,negative
258,negative
259,negative
260,negative
261,negative
262,neutral
263,negative
264,negative
265,negative
266,negative
267,negative
268,negative
269,negative
270,negative
271,positive
272,negative
273,negative
274,negative
275,positive
276,negative
277,negative
278,positive
279,positive
280,negative
281,negative
282,negative
283,negative
284,negative
285,negative
286,negative
287,negative
288,negative
289,negative
290,neutral
291,negative
292,negative
293,negative
294,negative
295,neutral
296,neutral
297,neutral
298,positive
299,negative
300,negative
301,negative
302,negative
303,positive
304,negative
305,negative
306,negative
307,neutral
308,negative
309,negative
310,neutral
311,negative
312,negative
313,negative
314,negative
315,negative
316,negative
317,positive
318,negative
319,negative
320,positive
321,negative
322,negative
323,negative
324,negative
325,negative
326,neutral
327,negative
328,neutral
329,neutral
330,negative
331,negative
332,negative
333,positive
334,negative
335,negative
336,negative
337,negative
338,negative
339,negative
340,negative
341,negative
342,negative
343,neutral
344,negative
345,negative
346,negative
347,negative
348,negative
349,negative
350,neutral
351,negative
352,neutral
353,negative
354,positive
355,positive
356,negative
357,negative
358,negative
359,negative
360,negative
361,negative
362,negative
363,negative
364,negative
365,negative
366,negative
367,negative
368,negative
369,negative
370,negative
371,negative
372,negative
373,negative
374,neutral
375,negative
376,neutral
377,negative
378,negative
379,negative
380,negative
381,negative
382,negative
383,negative
384,positive
385,positive
386,positive
387,neutral
388,negative
389,negative
390,negative
391,negative
392,positive
393,negative
394,negative
395,negative
396,negative
397,neutral
398,neutral
399,positive
400,positive
401,negative
402,neutral
403,negative
404,negative
405,negative
406,positive
407,negative
408,negative
409,negative
410,positive
411,positive
412,negative
413,neutral
414,negative
415,neutral
416,negative
417,negative
418,negative
419,neutral
420,neutral
421,negative
422,neutral
423,negative
424,negative
425,positive
426,negative
427,negative
428,neutral
429,negative
430,negative
431,negative
432,neutral
433,negative
434,negative
435,negative
436,negative
437,negative
438,negative
439,negative
440,negative
441,negative
442,negative
443,negative
444,neutral
445,negative
446,neutral
447,neutral
448,negative
449,negative
450,neutral
451,negative
452,negative
453,negative
454,negative
455,negative
456,negative
457,negative
458,negative
459,negative
460,positive
461,negative
462,negative
463,negative
464,negative
465,negative
466,negative
467,negative
468,negative
469,negative
470,negative
471,neutral
472,positive
473,negative
474,negative
475,negative
476,negative
477,negative
478,negative
479,neutral
480,negative
481,positive
482,negative
483,negative
484,negative
485,neutral
486,positive
487,negative
488,negative
489,negative
490,negative
491,positive
492,negative
493,negative
494,neutral
495,negative
496,negative
497,negative
498,negative
499,negative
500,negative
501,neutral
502,negative
503,negative
504,negative
505,neutral
506,negative
507,negative
508,negative
509,negative
510,negative
511,positive
512,negative
513,negative
514,negative
515,negative
516,negative
517,neutral
518,negative
519,negative
520,negative
521,negative
522,neutral
523,negative
524,negative
525,negative
526,positive
527,negative
528,neutral
529,negative
530,positive
531,negative
532,negative
533,negative
534,negative
535,negative
536,negative
537,negative
538,negative
539,neutral
540,neutral
541,negative
542,negative
543,negative
544,negative
545,negative
546,negative
547,negative
548,negative
549,negative
550,neutral
551,negative
552,negative
553,negative
554,negative
555,negative
556,negative
557,negative
558,negative
559,positive
560,negative
561,positive
562,negative
563,positive
564,negative
565,negative
566,negative
567,negative
568,positive
569,positive
570,negative
571,negative
572,negative
573,negative
574,negative
575,negative
576,neutral
577,negative
578,neutral
579,negative
580,negative
581,negative
582,neutral
583,positive
584,negative
585,negative
586,positive
587,negative
588,negative
589,negative
590,negative
591,negative
592,negative
593,negative
594,negative
595,neutral
596,negative
597,negative
598,negative
599,neutral
600,negative
601,negative
602,negative
603,negative
604,negative
605,negative
606,negative
607,negative
608,negative
609,negative
610,negative
611,negative
612,negative
613,neutral
614,negative
615,negative
616,negative
617,negative
618,positive
619,negative
620,positive
621,neutral
622,negative
623,negative
624,negative
625,negative
626,positive
627,negative
628,negative
629,negative
630,negative
631,negative
632,negative
633,neutral
634,negative
635,negative
636,negative
637,negative
638,neutral
639,positive
640,neutral
641,negative
642,negative
643,neutral
644,negative
645,negative
646,negative
647,neutral
648,negative
649,negative
650,negative
651,negative
652,negative
653,negative
654,negative
655,neutral
656,neutral
657,negative
658,negative
659,neutral
660,negative
661,neutral
662,negative
663,negative
664,negative
665,positive
666,negative
667,negative
668,negative
669,negative
670,negative
671,negative
672,negative
673,neutral
674,negative
675,negative
676,negative
677,negative
678,negative
679,positive
680,negative
681,negative
682,negative
683,neutral
684,negative
685,neutral
686,negative
687,positive
688,negative
689,negative
690,negative
691,neutral
692,negative
693,negative
694,negative
695,negative
696,negative
697,positive
698,negative
699,positive
700,negative
701,negative
702,neutral
703,negative
704,negative
705,neutral
706,negative
707,negative
708,negative
709,negative
710,negative
711,negative
712,negative
713,neutral
714,negative
715,negative
716,negative
717,negative
718,negative
719,negative
720,negative
721,negative
722,positive
723,negative
724,negative
725,negative
726,negative
727,neutral
728,negative
729,neutral
730,negative
731,negative
732,negative
733,negative
734,positive
735,negative
736,negative
737,negative
738,neutral
739,negative
740,negative
741,negative
742,neutral
743,negative
744,negative
745,negative
746,negative
747,negative
748,negative
749,negative
750,negative
751,negative
752,negative
753,negative
754,positive
755,negative
756,negative
757,negative
758,negative
759,negative
760,positive
761,negative
762,positive
763,positive
764,negative
765,negative
766,negative
767,negative
768,neutral
769,negative
770,negative
771,negative
772,negative
773,neutral
774,negative
775,negative
776,negative
777,negative
778,neutral
779,positive
780,neutral
781,negative
782,negative
783,positive
784,negative
785,negative
786,negative
787,negative
788,neutral
789,negative
790,positive
791,negative
792,positive
793,negative
794,negative
795,negative
796,negative
797,negative
798,negative
799,negative
800,neutral
801,negative
802,negative
803,negative
804,negative
805,negative
806,negative
807,negative
808,neutral
809,negative
810,neutral
811,negative
812,negative
813,negative
814,negative
815,negative
816,negative
817,negative
818,negative
819,negative
820,negative
821,positive
822,negative
823,negative
824,neutral
825,negative
826,negative
827,negative
828,negative
829,negative
830,negative
831,negative
832,negative
833,negative
834,negative
835,negative
836,negative
837,negative
838,negative
839,negative
840,negative
841,positive
842,negative
843,negative
844,negative
845,negative
846,negative
847,negative
848,negative
849,negative
850,negative
851,neutral
852,negative
853,positive
854,negative
855,neutral
856,negative
857,negative
858,neutral
859,negative
860,negative
861,negative
862,negative
863,negative
864,neutral
865,negative
866,positive
867,negative
868,negative
869,positive
870,negative
871,negative
872,neutral
873,negative
874,negative
875,negative
876,positive
877,negative
878,negative
879,negative
880,negative
881,negative
882,negative
883,negative
884,negative
885,negative
886,positive
887,negative
888,neutral
889,negative
890,negative
891,negative
892,negative
893,negative
894,negative
895,neutral
896,negative
897,neutral
898,negative
899,neutral
900,negative
901,positive
902,negative
903,negative
904,negative
905,negative
906,negative
907,neutral
908,negative
909,negative
910,negative
911,negative
912,negative
913,negative
914,negative
915,neutral
916,negative
917,negative
918,neutral
919,neutral
920,negative
921,negative
922,negative
923,negative
924,positive
925,negative
926,neutral
927,negative
928,negative
929,negative
930,negative
931,negative
932,negative
933,positive
934,neutral
935,negative
936,negative
937,positive
938,negative
939,negative
940,negative
941,neutral
942,negative
943,negative
944,neutral
945,negative
946,negative
947,negative
948,negative
949,negative
950,negative
951,positive
952,negative
953,negative
954,negative
955,negative
956,negative
957,negative
958,negative
959,negative
960,negative
961,negative
962,positive
963,positive
964,positive
965,negative
966,negative
967,negative
968,negative
969,negative
970,negative
971,negative
972,negative
973,negative
974,negative
975,negative
976,negative
977,negative
978,negative
979,negative
980,negative
981,negative
982,negative
983,negative
984,positive
985,negative
986,negative
987,neutral
988,negative
989,neutral
990,negative
991,negative
992,negative
993,positive
994,negative
995,negative
996,negative
997,negative
998,negative
999,negative
1000,positive
1001,negative
1002,negative
1003,negative
1004,negative
1005,negative
1006,negative
1007,negative
1008,neutral
1009,negative
1010,negative
1011,negative
1012,negative
1013,negative
1014,positive
1015,negative
1016,negative
1017,negative
1018,negative
1019,neutral
1020,negative
1021,neutral
1022,negative
1023,negative
1024,negative
1025,negative
1026,negative
1027,negative
1028,negative
1029,negative
1030,negative
1031,negative
1032,negative
1033,negative
1034,neutral
1035,neutral
1036,negative
1037,negative
1038,negative
1039,negative
1040,neutral
1041,negative
1042,negative
1043,negative
1044,negative
1045,neutral
1046,negative
1047,negative
1048,negative
1049,negative
1050,negative
1051,negative
1052,neutral
1053,negative
1054,negative
1055,negative
1056,positive
1057,negative
1058,negative
1059,negative
1060,negative
1061,negative
1062,negative
1063,positive
1064,negative
1065,negative
1066,negative
1067,negative
1068,negative
1069,negative
1070,negative
1071,negative
1072,negative
1073,neutral
1074,neutral
1075,negative
1076,negative
1077,negative
1078,negative
1079,negative
1080,positive
1081,negative
1082,negative
1083,negative
1084,negative
1085,neutral
1086,negative
1087,negative
1088,positive
1089,positive
1090,negative
1091,negative
1092,neutral
1093,positive
1094,neutral
1095,negative
1096,positive
1097,positive
1098,positive
1099,negative
1100,positive
1101,negative
1102,negative
1103,negative
1104,positive
1105,negative
1106,positive
1107,negative
1108,negative
1109,neutral
1110,negative
1111,positive
1112,negative
1113,negative
1114,negative
1115,negative
1116,neutral
1117,negative
1118,negative
1119,positive
1120,negative
1121,negative
1122,negative
1123,negative
1124,positive
1125,negative
1126,negative
1127,negative
1128,positive
1129,negative
1130,negative
1131,negative
1132,negative
1133,negative
1134,neutral
1135,negative
1136,neutral
1137,negative
1138,negative
1139,negative
1140,negative
1141,negative
1142,negative
1143,negative
1144,negative
1145,negative
1146,negative
1147,negative
1148,negative
1149,negative
1150,negative
1151,negative
1152,negative
1153,negative
1154,negative
1155,negative
1156,negative
1157,negative
1158,negative
1159,positive
1160,negative
1161,negative
1162,neutral
1163,negative
1164,positive
1165,negative
1166,negative
1167,negative
1168,negative
1169,neutral
1170,negative
1171,negative
1172,negative
1173,neutral
1174,negative
1175,negative
1176,negative
1177,negative
1178,negative
1179,negative
1180,negative
1181,negative
1182,negative
1183,neutral
1184,negative
1185,neutral
1186,negative
1187,negative
1188,negative
1189,neutral
1190,negative
1191,negative
1192,negative
1193,negative
1194,negative
1195,negative
1196,negative
1197,negative
1198,neutral
1199,negative
1200,neutral
1201,negative
1202,negative
1203,negative
1204,negative
1205,neutral
1206,negative
1207,negative
1208,negative
1209,negative
1210,neutral
1211,neutral
1212,negative
1213,negative
1214,neutral
1215,negative
1216,negative
1217,neutral
1218,negative
1219,negative
1220,negative
1221,negative
1222,negative
1223,negative
1224,negative
1225,negative
1226,negative
1227,negative
1228,negative
1229,negative
1230,negative
1231,negative
1232,negative
1233,negative
1234,positive
1235,neutral
1236,negative
1237,negative
1238,negative
1239,negative
1240,negative
1241,negative
1242,negative
1243,neutral
1244,negative
1245,positive
1246,negative
1247,negative
1248,negative
1249,negative
1250,negative
1251,neutral
1252,positive
1253,neutral
1254,negative
1255,negative
1256,negative
1257,negative
1258,negative
1259,neutral
1260,negative
1261,negative
1262,negative
1263,negative
1264,negative
1265,negative
1266,negative
1267,positive
1268,negative
1269,negative
1270,negative
1271,negative
1272,positive
1273,neutral
1274,negative
1275,negative
1276,negative
1277,neutral
1278,negative
1279,negative
1280,negative
1281,negative
1282,negative
1283,negative
1284,negative
1285,negative
1286,negative
1287,negative
1288,negative
1289,negative
1290,negative
1291,positive
1292,negative
1293,negative
1294,negative
1295,negative
1296,negative
1297,negative
1298,negative
1299,negative
1300,negative
1301,neutral
1302,negative
1303,negative
1304,negative
1305,negative
1306,negative
1307,negative
1308,positive
1309,neutral
1310,negative
1311,neutral
1312,negative
1313,negative
1314,negative
1315,negative
1316,negative
1317,negative
1318,neutral
1319,negative
1320,positive
1321,negative
1322,negative
1323,positive
1324,neutral
1325,negative
1326,negative
1327,negative
1328,neutral
1329,negative
1330,negative
1331,neutral
1332,negative
1333,negative
1334,negative
1335,positive
1336,neutral
1337,positive
1338,negative
1339,negative
1340,negative
1341,neutral
1342,negative
1343,negative
1344,negative
1345,positive
1346,neutral
1347,neutral
1348,negative
1349,negative
1350,negative
1351,negative
1352,positive
1353,negative
1354,negative
1355,negative
1356,negative
1357,negative
1358,negative
1359,negative
1360,negative
1361,negative
1362,negative
1363,negative
1364,negative
1365,negative
1366,negative
1367,negative
1368,negative
1369,negative
1370,neutral
1371,negative
1372,negative
1373,negative
1374,negative
1375,negative
1376,negative
1377,negative
1378,negative
1379,negative
1380,negative
1381,neutral
1382,negative
1383,negative
1384,negative
1385,negative
1386,negative
1387,positive
1388,negative
1389,negative
1390,negative
1391,negative
1392,negative
1393,negative
1394,negative
1395,neutral
1396,negative
1397,negative
1398,negative
1399,negative
1400,negative
1401,negative
1402,neutral
1403,negative
1404,negative
1405,neutral
1406,negative
1407,negative
1408,negative
1409,negative
1410,negative
1411,negative
1412,negative
1413,negative
1414,negative
1415,negative
1416,negative
1417,negative
1418,negative
1419,negative
1420,negative
1421,neutral
1422,negative
1423,positive
1424,negative
1425,negative
1426,negative
1427,negative
1428,negative
1429,positive
1430,negative
1431,negative
1432,negative
1433,negative
1434,negative
1435,negative
1436,positive
1437,negative
1438,negative
1439,negative
1440,negative
1441,negative
1442,negative
1443,negative
1444,negative
1445,negative
1446,negative
1447,negative
1448,negative
1449,negative
1450,neutral
1451,negative
1452,negative
1453,positive
1454,negative
1455,negative
1456,neutral
1457,neutral
1458,negative
1459,negative
1460,positive
1461,negative
1462,positive
1463,negative
1464,negative
1465,neutral
1466,positive
1467,negative
1468,neutral
1469,negative
1470,neutral
1471,negative
1472,negative
1473,negative
1474,negative
1475,negative
1476,negative
1477,negative
1478,positive
1479,negative
1480,negative
1481,neutral
1482,positive
1483,negative
1484,negative
1485,negative
1486,negative
1487,negative
1488,neutral
1489,negative
1490,negative
1491,positive
1492,negative
1493,negative
1494,neutral
1495,negative
1496,negative
1497,negative
1498,negative
1499,neutral
1500,negative
1501,negative
1502,positive
1503,negative
1504,negative
1505,negative
1506,negative
1507,negative
1508,negative
1509,negative
1510,negative
1511,neutral
1512,negative
1513,negative
1514,negative
1515,negative
1516,negative
1517,negative
1518,negative
1519,negative
1520,negative
1521,negative
1522,positive
1523,neutral
1524,positive
1525,negative
1526,negative
1527,negative
1528,negative
1529,negative
1530,negative
1531,positive
1532,negative
1533,negative
1534,negative
1535,negative
1536,neutral
1537,neutral
1538,negative
1539,negative
1540,negative
1541,negative
1542,negative
1543,negative
1544,negative
1545,negative
1546,neutral
1547,negative
1548,negative
1549,negative
1550,negative
1551,negative
1552,positive
1553,negative
1554,negative
1555,neutral
1556,negative
1557,positive
1558,negative
1559,negative
1560,negative
1561,negative
1562,negative
1563,negative
1564,negative
1565,negative
1566,negative
1567,negative
1568,negative
1569,negative
1570,negative
1571,negative
1572,positive
1573,negative
1574,neutral
1575,negative
1576,negative
1577,negative
1578,negative
1579,negative
1580,negative
1581,negative
1582,negative
1583,negative
1584,negative
1585,negative
1586,negative
1587,neutral
1588,negative
1589,negative
1590,neutral
1591,negative
1592,negative
1593,neutral
1594,negative
1595,positive
1596,negative
1597,negative
1598,negative
1599,negative
1600,negative
1601,negative
1602,negative
1603,neutral
1604,negative
1605,positive
1606,negative
1607,neutral
1608,negative
1609,positive
1610,negative
1611,negative
1612,negative
1613,negative
1614,negative
1615,negative
1616,neutral
1617,negative
1618,negative
1619,negative
1620,negative
1621,negative
1622,negative
1623,negative
1624,negative
1625,negative
1626,negative
1627,negative
1628,positive
1629,negative
1630,neutral
1631,negative
1632,negative
1633,neutral
1634,negative
1635,negative
1636,negative
1637,negative
1638,positive
1639,negative
1640,neutral
1641,neutral
1642,negative
1643,negative
1644,negative
1645,negative
1646,negative
1647,negative
1648,negative
1649,neutral
1650,neutral
1651,negative
1652,negative
1653,neutral
1654,negative
1655,neutral
1656,negative
1657,negative
1658,neutral
1659,negative
1660,negative
1661,negative
1662,negative
1663,negative
1664,positive
1665,negative
1666,negative
1667,negative
1668,negative
1669,negative
1670,negative
1671,negative
1672,negative
1673,negative
1674,negative
1675,negative
1676,negative
1677,negative
1678,negative
1679,negative
1680,negative
1681,negative
1682,negative
1683,negative
1684,negative
1685,negative
1686,negative
1687,negative
1688,negative
1689,negative
1690,negative
1691,negative
1692,negative
1693,negative
1694,negative
1695,negative
1696,negative
1697,positive
1698,negative
1699,positive
1700,negative
1701,neutral
1702,neutral
1703,negative
1704,negative
1705,negative
1706,negative
1707,negative
1708,negative
1709,negative
1710,negative
1711,negative
1712,negative
1713,neutral
1714,negative
1715,negative
1716,negative
1717,negative
1718,neutral
1719,negative
1720,negative
1721,negative
1722,negative
1723,negative
1724,negative
1725,negative
1726,negative
1727,positive
1728,negative
1729,negative
1730,negative
1731,negative
1732,negative
1733,negative
1734,negative
1735,negative
1736,negative
1737,negative
1738,positive
1739,negative
1740,neutral
1741,negative
1742,negative
1743,negative
1744,negative
1745,negative
1746,positive
1747,neutral
1748,negative
1749,negative
1750,positive
1751,negative
1752,negative
1753,positive
1754,negative
1755,negative
1756,neutral
1757,negative
1758,neutral
1759,negative
1760,negative
1761,negative
1762,negative
1763,neutral
1764,negative
1765,negative
1766,negative
1767,negative
1768,negative
1769,negative
1770,negative
1771,neutral
1772,negative
1773,negative
1774,negative
1775,negative
1776,negative
1777,positive
1778,neutral
1779,negative
1780,negative
1781,negative
1782,negative
1783,negative
1784,neutral
1785,negative
1786,negative
1787,negative
1788,positive
1789,negative
1790,negative
1791,neutral
1792,positive
1793,positive
1794,neutral
1795,positive
1796,negative
1797,negative
1798,negative
1799,negative
1800,negative
1801,negative
1802,negative
1803,negative
1804,negative
1805,neutral
1806,negative
1807,negative
1808,negative
1809,negative
1810,negative
1811,negative
1812,negative
1813,negative
1814,negative
1815,negative
1816,neutral
1817,negative
1818,negative
1819,negative
1820,neutral
1821,negative
1822,neutral
1823,negative
1824,positive
1825,negative
1826,negative
1827,neutral
1828,negative
1829,neutral
1830,negative
1831,negative
1832,negative
1833,positive
1834,negative
1835,negative
1836,negative
1837,neutral
1838,neutral
1839,negative
1840,negative
1841,neutral
1842,neutral
1843,negative
1844,negative
1845,positive
1846,negative
1847,negative
1848,negative
1849,negative
1850,negative
1851,negative
1852,neutral
1853,negative
1854,positive
1855,negative
1856,negative
1857,negative
1858,positive
1859,negative
1860,negative
1861,negative
1862,neutral
1863,negative
1864,negative
1865,neutral
1866,negative
1867,negative
1868,negative
1869,negative
1870,negative
1871,neutral
1872,positive
1873,negative
1874,negative
1875,negative
1876,negative
1877,negative
1878,negative
1879,negative
1880,negative
1881,negative
1882,negative
1883,negative
1884,negative
1885,negative
1886,negative
1887,negative
1888,negative
1889,negative
1890,negative
1891,neutral
1892,negative
1893,negative
1894,neutral
1895,negative
1896,negative
1897,negative
1898,neutral
1899,negative
1900,negative
1901,negative
1902,negative
1903,negative
1904,positive
1905,negative
1906,negative
1907,positive
1908,negative
1909,neutral
1910,negative
1911,negative
1912,negative
1913,negative
1914,negative
1915,negative
1916,negative
1917,negative
1918,negative
1919,neutral
1920,neutral
1921,negative
1922,negative
1923,negative
1924,negative
1925,negative
1926,negative
1927,neutral
1928,positive
1929,positive
1930,negative
1931,neutral
1932,positive
1933,negative
1934,negative
1935,negative
1936,negative
1937,negative
1938,negative
1939,negative
1940,negative
1941,positive
1942,neutral
1943,negative
1944,negative
1945,negative
1946,negative
1947,neutral
1948,negative
1949,positive
1950,positive
1951,negative
1952,negative
1953,negative
1954,positive
1955,negative
1956,negative
1957,negative
1958,negative
1959,negative
1960,negative
1961,negative
1962,negative
1963,negative
1964,positive
1965,negative
1966,negative
1967,negative
1968,negative
1969,negative
1970,negative
1971,negative
1972,negative
1973,negative
1974,negative
1975,negative
1976,negative
1977,negative
1978,negative
1979,negative
1980,negative
1981,negative
1982,negative
1983,negative
1984,negative
1985,positive
1986,positive
1987,negative
1988,negative
1989,neutral
1990,neutral
1991,positive
1992,neutral
1993,negative
1994,negative
1995,negative
1996,negative
1997,negative
1998,negative
1999,negative
2000,negative
2001,negative
2002,positive
2003,neutral
2004,negative
2005,negative
2006,negative
2007,negative
2008,negative
2009,negative
2010,negative
2011,negative
2012,negative
2013,neutral
2014,negative
2015,negative
2016,negative
2017,negative
2018,negative
2019,negative
2020,negative
2021,negative
2022,negative
2023,negative
2024,negative
2025,negative
2026,negative
2027,negative
2028,positive
2029,negative
2030,negative
2031,negative
2032,negative
2033,negative
2034,negative
2035,negative
2036,negative
2037,negative
2038,negative
2039,negative
2040,negative
2041,negative
2042,negative
2043,negative
2044,negative
2045,negative
2046,negative
2047,negative
2048,negative
2049,negative
2050,negative
2051,negative
2052,negative
2053,negative
2054,negative
2055,negative
2056,negative
2057,negative
2058,negative
2059,positive
2060,negative
2061,negative
2062,negative
2063,negative
2064,negative
2065,negative
2066,positive
2067,negative
2068,negative
2069,negative
2070,negative
2071,negative
2072,negative
2073,negative
2074,negative
2075,negative
2076,neutral
2077,negative
2078,neutral
2079,neutral
2080,negative
2081,positive
2082,negative
2083,negative
2084,positive
2085,negative
2086,negative
2087,negative
2088,negative
2089,negative
2090,negative
2091,negative
2092,negative
2093,positive
2094,negative
2095,negative
2096,negative
2097,negative
2098,negative
2099,negative
2100,negative
2101,negative
2102,negative
2103,negative
2104,negative
2105,negative
2106,negative
2107,positive
2108,positive
2109,negative
2110,negative
2111,negative
2112,negative
2113,positive
2114,neutral
2115,neutral
2116,negative
2117,negative
2118,negative
2119,negative
2120,negative
2121,negative
2122,negative
2123,negative
2124,negative
2125,negative
2126,negative
2127,negative
2128,negative
2129,negative
2130,negative
2131,negative
2132,negative
2133,neutral
2134,neutral
2135,negative
2136,negative
2137,negative
2138,negative
2139,negative
2140,negative
2141,negative
2142,negative
2143,neutral
2144,negative
2145,negative
2146,neutral
2147,negative
2148,negative
2149,negative
2150,positive
2151,neutral
2152,negative
2153,positive
2154,negative
2155,negative
2156,positive
2157,positive
2158,positive
2159,negative
2160,negative
2161,negative
2162,negative
2163,negative
2164,negative
2165,negative
2166,negative
2167,negative
2168,negative
2169,negative
2170,negative
2171,neutral
2172,negative
2173,neutral
2174,negative
2175,negative
2176,neutral
2177,negative
2178,negative
2179,negative
2180,negative
2181,neutral
2182,negative
2183,negative
2184,negative
2185,negative
2186,negative
2187,negative
2188,negative
2189,neutral
2190,negative
2191,negative
2192,negative
2193,neutral
2194,negative
2195,neutral
2196,neutral
2197,neutral
2198,negative
2199,negative
2200,negative
2201,negative
2202,negative
2203,negative
2204,negative
2205,negative
2206,neutral
2207,negative
2208,negative
2209,negative
2210,negative
2211,negative
2212,negative
2213,neutral
2214,positive
2215,negative
2216,negative
2217,negative
2218,negative
2219,negative
2220,negative
2221,negative
2222,negative
2223,negative
2224,neutral
2225,negative
2226,negative
2227,negative
2228,negative
2229,negative
2230,positive
2231,negative
2232,neutral
2233,negative
2234,negative
2235,negative
2236,negative
2237,positive
2238,neutral
2239,negative
2240,negative
2241,negative
2242,negative
2243,negative
2244,negative
2245,negative
2246,negative
2247,positive
2248,negative
2249,positive
2250,neutral
2251,positive
2252,negative
2253,negative
2254,negative
2255,negative
2256,neutral
2257,negative
2258,negative
2259,negative
2260,negative
2261,negative
2262,negative
2263,negative
2264,negative
2265,negative
2266,negative
2267,negative
2268,positive
2269,negative
2270,negative
2271,negative
2272,negative
2273,negative
2274,negative
2275,negative
2276,negative
2277,negative
2278,negative
2279,negative
2280,negative
2281,negative
2282,neutral
2283,negative
2284,negative
2285,negative
2286,negative
2287,negative
2288,negative
2289,negative
2290,negative
2291,negative
2292,negative
2293,negative
2294,negative
2295,negative
2296,positive
2297,negative
2298,negative
2299,negative
2300,negative
2301,negative
2302,negative
2303,negative
2304,negative
2305,positive
2306,negative
2307,negative
2308,negative
2309,negative
2310,negative
2311,negative
2312,negative
2313,neutral
2314,negative
2315,negative
2316,negative
2317,negative
2318,negative
2319,negative
2320,negative
2321,negative
2322,positive
2323,neutral
2324,negative
2325,negative
2326,negative
2327,positive
2328,negative
2329,negative
2330,negative
2331,neutral
2332,positive
2333,negative
2334,negative
2335,negative
2336,negative
2337,positive
2338,positive
2339,negative
2340,negative
2341,negative
2342,neutral
2343,neutral
2344,negative
2345,positive
2346,negative
2347,negative
2348,negative
2349,negative
2350,negative
2351,negative
2352,negative
2353,negative
2354,negative
2355,negative
2356,negative
2357,negative
2358,positive
2359,negative
2360,negative
2361,negative
2362,negative
2363,negative
2364,negative
2365,negative
2366,positive
2367,negative
2368,negative
2369,negative
2370,negative
2371,negative
2372,negative
2373,negative
2374,negative
2375,negative
2376,positive
2377,positive
2378,negative
2379,neutral
2380,negative
2381,negative
2382,negative
2383,negative
2384,negative
2385,negative
2386,negative
2387,negative
2388,negative
2389,negative
2390,negative
2391,negative
2392,negative
2393,neutral
2394,negative
2395,neutral
2396,negative
2397,negative
2398,negative
2399,negative
2400,negative
2401,negative
2402,negative
2403,negative
2404,positive
2405,negative
2406,negative
2407,neutral
2408,neutral
2409,negative
2410,negative
2411,negative
2412,negative
2413,negative
2414,negative
2415,negative
2416,negative
2417,negative
2418,negative
2419,negative
2420,negative
2421,negative
2422,positive
2423,negative
2424,negative
2425,negative
2426,negative
2427,negative
2428,negative
2429,negative
2430,negative
2431,neutral
2432,neutral
2433,positive
2434,negative
2435,negative
2436,negative
2437,negative
2438,negative
2439,negative
2440,positive
2441,negative
2442,positive
2443,negative
2444,negative
2445,negative
2446,neutral
2447,negative
2448,negative
2449,positive
